OperonID	Genes_ID	Start	End	Strand	Expression	Genes_description
173922	"ycjM;ycjN;ycjO;ycjP;ycjQ;ycjR;ycjS;ycjT;ycjU;ycjV;ymjB;"	1373052	1384738	+	0,509983347	"glucosyltransferase;sugar transporter subunit;sugar transporter subunit;sugar transporter subunit;oxidoreductase;hypothetical protein;oxidoreductase;hydrolase;beta-phosphoglucomutase;sugar transporter subunit;hypothetical protein;"
1763080	"yciG;"	1318692	1318871	-	0,505555556	"hypothetical protein;"
173986	"ydiF;ydiO;"	1778423	1781183	+	0,496596308	"fused acetyl-CoA:acetoacetyl-CoA transferase: alpha subunit and beta subunit;acyl-CoA dehydrogenase;"
1763131	"maoC;"	1454433	1456478	-	0,49657869	"fused aldehyde dehydrogenase and enoyl-CoA hydratase;"
1763408	"yegR;"	2171248	2171565	-	0,471698113	"hypothetical protein;"
1763577	"alpA;"	2758422	2758634	+	0,450704225	"DNA-binding transcriptional activator;"
1763636	"ygeG;"	2991046	2991537	+	0,441056911	"chaperone;"
173948	"yddK;yddL;"	1547594	1548864	-	0,440685178	"hypothetical protein;lipoprotein;"
1762987	"ycdU;"	1097387	1098373	+	0,435663627	"inner membrane protein;"
1764062	"adiY;"	4342968	4343729	-	0,417322835	"DNA-binding transcriptional activator;"
174132	"eutG;eutJ;eutE;cchB;"	2568102	2571828	-	0,388691114	"alcohol dehydrogenase in ethanolamine utilization;chaperonin, ethanolamine utilization protein;aldehyde dehydrogenase, ethanolamine utilization protein;carboxysome structural protein;"
1763404	"yegJ;"	2154444	2154905	+	0,378787879	"hypothetical protein;"
1763175	"ydeM;"	1582469	1583626	-	0,354058722	"hypothetical protein;"
1763470	"yfbM;"	2392726	2393229	+	0,33531746	"hypothetical protein;"
1762877	"ybfQ;"	737989	738243	+	0,333333333	"transposase;"
1762811	"fdrA;"	545904	547571	+	0,299160671	"acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain;"
174506	"hsdS;hsdM;"	4585870	4588850	-	0,254595253	"specificity determinant for hsdM and hsdR;DNA methylase M;"
1763166	"yddJ;"	1547220	1547555	-	0,211119459	"hypothetical protein;"
1764158	"yjiS;"	4577553	4577717	+	0,121212121	"hypothetical protein;"
1762720	"ykfC;"	272071	273216	+	0,108303249	"hypothetical protein;"
1763177	"ydeO;"	1585762	1586523	-	0,104986877	"DNA-binding transcriptional acfivator;"
1763118	"ynaA;"	1429290	1430318	+	0,096463023	"tail protein;"
173779	"essD;ybcS;rzpD;rzoD;"	576621	577791	+	0,092883985	"phage lysis protein;lysozyme;murein endopeptidase;lipoprotein;"
1764161	"hsdR;"	4589051	4592617	-	0,085397096	"endonuclease R;"
1763115	"sieB;"	1421507	1421995	+	0,081799591	"phage superinfection exclusion protein;"
1764162	"mrr;"	4592751	4593665	+	0,076502732	"methylated adenine and cytosine restriction protein;"
173708	"ykfI;yafW;ykfH;ykfG;yafX;"	262552	264430	-	0,068911016	"toxin of the YkfI-YafW toxin-antitoxin system;antitoxin of the YkfI-YafW toxin-antitoxin system;hypothetical protein;DNA repair protein;hypothetical protein;"
174505	"mcrC;mcrB;"	4582714	4585139	-	0,067356007	"5-methylcytosine-specific restriction enzyme McrBC, subunit McrC;5-methylcytosine-specific restriction enzyme McrBC, subunit McrB;"
1763116	"racR;"	1422601	1423077	-	0,062893082	"DNA-binding transcriptional regulator;"
1764175	"yjjJ;"	4627571	4628902	+	0,06006006	"DNA-binding transcriptional regulator;"
173709	"ykfB;yafY;"	264844	266191	-	0,055151306	"hypothetical protein;DNA-binding transcriptional regulator;"
173931	"ydaS;ydaT;ydaU;ydaV;ydaW;rzpR;rzoR;"	1423201	1426480	+	0,052847301	"DNA-binding transcriptional regulator;hypothetical protein;hypothetical protein;DNA replication protein;DNA-binding protein;defective peptidase;lipoprotein;"
174494	"yjhG;yjhH;yjhI;"	4527929	4531605	-	0,04267258	"dehydratase;lyase/synthase;DNA-binding transcriptional regulator;"
173710	"yafZ;ykfA;"	266408	268184	-	0,041692011	"hypothetical protein;GTP-binding protein;"
173932	"ynaK;ydaY;"	1428213	1428816	+	0,041014449	"hypothetical protein;hypothetical protein;"
173928	"recT;recE;"	1416820	1420222	-	0,038147721	"recombination and repair protein;exonuclease VIII, 5' -> 3' specific dsDNA exonuclease;"
174507	"yjiA;yjiX;yjiY;"	4593711	4597081	-	0,038020631	"GTPase;hypothetical protein;inner membrane protein;"
1762821	"borD;"	577823	578116	-	0,034013605	"lipoprotein;"
173707	"proB;proA;"	259612	261980	+	0,02953592	"gamma-glutamate kinase;gamma-glutamylphosphate reductase;"
1764160	"yjiW;"	4585301	4585699	-	0,029239766	"hypothetical protein;"
1762717	"phoE;"	258269	259324	-	0,028409091	"outer membrane phosphoporin protein E;"
1764159	"yjiT;"	4578216	4579733	+	0,027944112	"hypothetical protein;"
1763117	"trkG;"	1426618	1428075	+	0,027434842	"potassium transporter subunit;"
173927	"ydaC;lar;"	1416367	1416763	-	0,023809524	"hypothetical protein;restriction alleviation protein;"
1762719	"perR;"	268513	269406	-	0,022371365	"DNA-binding transcriptional regulator;"
1764144	"yjhF;"	4526473	4527822	-	0,022222222	"transporter;"
1762718	"ykfF;"	264528	264767	-	0,020833333	"hypothetical protein;"
1764157	"yjiR;"	4575964	4577376	-	0,014154282	"fused DNA-binding transcriptional regulator and aminotransferase;"
173706	"frsA;crl;"	256527	258230	+	0,012437811	"hydrolase, binds to enzyme IIA(Glc);DNA-binding transcriptional regulator;"
173929	"racC;ydaE;kil;"	1420324	1421065	-	0,012077295	"hypothetical protein;hypothetical protein;inhibitor of ftsZ, killing protein;"
173930	"ydaF;ydaG;"	1421992	1422292	-	0	"hypothetical protein;hypothetical protein;"
1762716	"gpt;"	255977	256435	+	0	"guanine-hypoxanthine phosphoribosyltransferase;"
1764143	"yjhU;"	4525140	4526126	-	0	"DNA-binding transcriptional regulator;"
