OperonID	Genes_ID	Start	End	Strand	Expression	Genes_description
173811	"sucC;sucD;"	764558	766593	+	121,7449916	"succinyl-CoA synthetase subunit beta;succinyl-CoA synthetase subunit alpha;"
1763540	"suhB;"	2663220	2664023	+	121,130597	"inositol monophosphatase;"
174289	"mtgA;elbB;"	3350058	3351436	-	120,6071437	"biosynthetic peptidoglycan transglycosylase;isoprenoid biosynthesis protein with amidotransferase-like domain;"
1763868	"asnC;"	3710800	3711258	+	119,3246187	"DNA-binding transcriptional dual regulator;"
1764079	"ecnA;"	4382119	4382244	+	119,2380952	"entericidin A membrane lipoprotein, antidote entericidin B;"
1764181	"rob;"	4640243	4641112	-	116,791954	"DNA-binding transcriptional activator;"
1762779	"tig;"	454357	455655	+	116,7598152	"peptidyl-prolyl cis/trans isomerase;"
174328	"fdoG;fdoH;fdoI;fdhE;"	3551981	3557504	+	116,7579914	"formate dehydrogenase-O, large subunit;formate dehydrogenase-O, Fe-S subunit;formate dehydrogenase-O, cytochrome b556 subunit;formate dehydrogenase formation protein;"
1763911	"yibK;"	3859849	3860322	-	115,9409283	"rRNA methylase;"
1762995	"yceP;"	1123400	1123654	-	114,1686275	"hypothetical protein;"
1763964	"uspA;"	4000992	4001426	-	114,1149425	"universal stress global response regulator;"
1764078	"efp;"	4381501	4382067	+	111,973545	"Elongation factor EF-P;"
1762757	"yaiZ;"	398817	399029	+	111,6713615	"inner membrane protein;"
174477	"yjeB;rnr;"	4411992	4414897	+	111,097934	"DNA-binding transcriptional regulator;exoribonuclease R, RNase R;"
174384	"lldD;lldR;lldP;"	3860520	3864138	-	110,7728619	"L-lactate dehydrogenase, FMN-linked;DNA-binding transcriptional repressor;L-lactate permease;"
1764011	"yhdL;"	4202889	4203107	+	110,3013699	"hypothetical protein;"
1763608	"nlpD;"	2867392	2868531	-	108,1868421	"outer membrane lipoprotein;"
1763573	"smpA;"	2753383	2753724	+	107,9181287	"small membrane lipoprotein;"
174309	"rpoC;rpoB;"	3448230	3456558	-	107,6511333	"RNA polymerase, beta prime subunit;RNA polymerase subunit beta;"
1762947	"ihfB;"	965372	965656	+	107,2350877	"integration host factor (IHF), DNA-binding protein subunit beta;"
1763244	"slyA;"	1723226	1723660	-	107,0988506	"DNA-binding transcriptional activator;"
1763539	"yfhQ;"	2662361	2663101	-	105,025641	"methyltransferase;"
173843	"clpS;clpA;"	924457	927084	+	104,5399854	"regulatory protein for ClpA substrate-specificity;ATPase and-specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity;"
1763801	"rraA;"	3518473	3518958	+	103,3024691	"ribonuclease E (RNase E) inhibitor protein;"
174374	"recG;trmH;spoT;rpoZ;gmk;"	3814246	3820109	-	102,2538132	"ATP-dependent DNA helicase;tRNA (Guanosine-2'-O-)-methyltransferase;bifunctional (p)ppGpp synthetase II/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase;RNA polymerase, omega subunit;guanylate kinase;"
1762681	"can;"	142008	142670	-	101,9396682	"carbonic anhydrase;"
1763490	"yfcZ;"	2467218	2467502	-	101,6315789	"hypothetical protein;"
1763802	"yiiU;"	3519043	3519288	-	101,4430894	"hypothetical protein;"
173849	"cmk;rpsA;"	962745	965212	+	101,2962491	"cytidylate kinase;30S ribosomal protein S1;"
174351	"rbsB;rbsC;rbsA;rbsD;"	3700635	3704452	-	101,1827331	"D-ribose transporter subunit;D-ribose transporter subunit;fused D-ribose transporter subunits and ATP-binding components ABC superfamily;cytoplasmic sugar-binding protein;"
1764081	"sugE;"	4382677	4382994	+	100,009434	"multidrug efflux system protein;"
