GeneID	Gene_name	Start	End	Strand	Expression	Gene_description	OperonID
Y75_p0105	ppdD	117109	117549	-	3,027210884	major pilin subunit	173679
Y75_p0107	ampD	118733	119284	+	13,78623188	N-acetyl-anhydromuranmyl-L-alanine amidase	173680
Y75_p0108	ampE	119281	120135	+	10,39181287	inner membrane protein	173680
Y75_p0111	aceE	123017	125680	+	46,95045045	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	173681
Y75_p0112	aceF	125695	127587	+	45,13840465	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	173681
Y75_p0117	speD	134788	135582	-	23,91949686	S-adenosylmethionine decarboxylase	173682
Y75_p0118	speE	135598	136464	-	41,68858131	spermidine synthase	173682
Y75_p0124	yadG	142779	143705	+	8,329018339	transporter subunit	173683
Y75_p0125	yadH	143702	144472	+	8,070038911	transporter subunit	173683
Y75_p0130	panC	147944	148795	-	46,59037559	pantothenate synthetase	173684
Y75_p0131	panB	148807	149601	-	31,33584906	3-methyl-2-oxobutanoate hydroxymethyltransferase	173684
Y75_p0132	yadC	149715	150953	-	4,150121065	fimbrial-like adhesin protein	173685
Y75_p0133	yadK	151003	151599	-	1,974874372	fimbrial-like adhesin protein	173685
Y75_p0134	yadL	151626	152231	-	2,02970297	fimbrial-like adhesin protein	173685
Y75_p0135	yadM	152243	152812	-	1,794736842	fimbrial-like adhesin protein	173685
Y75_p0136	htrE	152829	155426	-	1,085450346	outer membrane usher protein	173685
Y75_p0137	ecpD	155461	156201	-	2,117408907	periplasmic pilin chaperone	173685
Y75_p0139	folK	157253	157732	-	55,58125	2-amino-4-hydroxy-6- hydroxymethyldihyropteridine pyrophosphokinase	173686
Y75_p0140	pcnB	157729	159126	-	58,67238913	poly(A) polymerase I	173686
Y75_p0141	yadB	159186	160112	-	58,5566343	glutamyl-Q tRNA(Asp) synthetase	173686
Y75_p0142	dksA	160149	160604	-	53,27412281	transcriptional regulator of rRNA transcription, DnaK suppressor protein	173686
Y75_p0143	sfsA	160782	161486	-	13,22836879	DNA-binding transcriptional regulator	173687
Y75_p0144	ligT	161501	162031	-	11,37853107	2'-5' RNA ligase	173687
Y75_p0147	fhuA	167484	169727	+	18,99643494	ferrichrome outer membrane transporter	173688
Y75_p0148	fhuC	169778	170575	+	8,102756892	iron-hydroxamate transporter subunit	173688
Y75_p0149	fhuD	170575	171465	+	6,439955107	iron-hydroxamate transporter subunit	173688
Y75_p0150	fhuB	171462	173444	+	15,28794755	iron-hydroxamate ABC transporter membrane protein	173688
Y75_p0152	clcA	175107	176528	+	17,04289733	chloride channel, voltage-gated	173689
Y75_p0153	yadR	176610	176954	+	90,8173913	hypothetical protein	173689
Y75_p0154	yadS	177001	177624	-	27,55769231	inner membrane protein	173690
Y75_p0155	btuF	177662	178462	-	48,29213483	vitamin B12 transporter subunit	173690
Y75_p0156	pfs	178455	179153	-	27,23032904	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	173690
Y75_p0162	dapD	185123	185947	-	33,94666667	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	173691
Y75_p0163	glnD	185978	188650	-	9,047512159	uridylyltransferase	173691
Y75_p0164	map	188712	189506	-	55,60377358	methionine aminopeptidase	173691
Y75_p0166	tsf	190857	191708	+	120,3098592	protein chain elongation factor EF-Ts	173692
Y75_p0167	pyrH	191855	192580	+	30,57575758	uridylate kinase	173692
Y75_p0168	frr	192872	193429	+	106,9874552	ribosome recycling factor	173693
Y75_p0169	dxr	193521	194717	+	30,02756892	1-deoxy-D-xylulose 5-phosphate reductoisomerase	173693
Y75_p0170	ispU	194903	195664	+	77,50131234	undecaprenyl pyrophosphate synthase	173694
Y75_p0171	cdsA	195677	196534	+	84,88694639	CDP-diglyceride synthase	173694
Y75_p0172	yaeL	196546	197898	+	106,315595	zinc metallopeptidase	173694
Y75_p0173	yaeT	197928	200360	+	109,2334566	hypothetical protein	173694
Y75_p0174	hlpA	200482	200967	+	117,755144	periplasmic chaperone	173695
Y75_p0175	lpxD	200971	201996	+	161,1920078	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	173695
Y75_p0176	fabZ	202101	202556	+	68,74561404	(3R)-hydroxymyristol acyl carrier protein dehydratase	173695
Y75_p0177	lpxA	202560	203348	+	89,68441065	UDP-N-acetylglucosamine acetyltransferase	173695
Y75_p0178	lpxB	203348	204496	+	105,078329	tetraacyldisaccharide-1-P synthase	173695
Y75_p0179	rnhB	204493	205089	+	57,77721943	ribonuclease HII, degrades RNA of DNA-RNA hybrids	173695
Y75_p0180	dnaE	205126	208608	+	47,17772036	DNA polymerase III alpha subunit	173695
Y75_p0181	accA	208621	209580	+	74,809375	acetylCoA carboxylase, carboxytransferase subunit alpha	173695
Y75_p0182	ldcC	209679	211820	+	4,045751634	lysine decarboxylase 2	173696
Y75_p0183	yaeR	211877	212266	+	8,135897436	lyase	173696
Y75_p0184	tilS	212331	213629	+	16,71670516	tRNA(Ile)-lysidine synthetase	173696
Y75_p0185	rof	213678	213932	-	56,54901961	modulator of Rho-dependent transcription termination	173697
Y75_p0186	yaeP	213925	214125	-	47,62686567	hypothetical protein	173697
Y75_p0187	yaeQ	214291	214836	+	11,23443223	hypothetical protein	173698
Y75_p0188	yaeJ	214833	215255	+	15,78486998	hypothetical protein	173698
Y75_p0189	nlpE	215269	215979	+	14,20534459	lipoprotein involved with copper homeostasis and adhesion	173698
Y75_p0192	yaeB	218887	219594	-	31,55649718	hypothetical protein	173699
Y75_p0193	rcsF	219591	219995	-	31,56049383	outer membrane protein, signal	173699
Y75_p0194	metQ	220113	220928	-	13,82230392	DL-methionine transporter subunit	173700
Y75_p0195	metI	220968	221621	-	8,267584098	DL-methionine transporter subunit	173700
Y75_p0196	metN	221614	222645	-	7,412790698	DL-methionine transporter subunit	173700
Y75_p0200	yafD	231122	231922	+	19,91635456	hypothetical protein	173701
Y75_p0201	yafE	231926	232549	+	23,27564103	SAM-dependent methyltransferase	173701
Y75_p0202	mltD	232597	233955	-	102,2531273	membrane-bound lytic murein transglycosylase D	173702
Y75_p0203	gloB	234027	234782	-	6,599206349	hydroxyacylglutathione hydrolase	173702
Y75_p0216	yafQ	245961	246239	-	34,92473118	toxin of the YafQ-DinJ toxin-antitoxin system	173703
Y75_p0217	dinJ	246242	246502	-	43,93103448	antitoxin of YafQ-DinJ toxin-antitoxin system	173703
Y75_p0222	dinB	250898	251953	+	5,962121212	DNA polymerase IV	173704
Y75_p0223	yafN	252005	252298	+	7,170068027	antitoxin of the YafO-YafN toxin-antitoxin system	173704
Y75_p0224	yafO	252301	252699	+	8,250626566	toxin of the YafO-YafN toxin-antitoxin system	173704
Y75_p0225	yafP	252709	253161	+	4,483443709	acyltransferase	173704
Y75_p0226	ykfJ	253467	253733	+	2,019323672	hypothetical protein	173705
Y75_p0227	prfH	253702	254202	+	11,99401198	peptide chain release factor	173705
Y75_p0230	frsA	256527	257771	+	0	hydrolase, binds to enzyme IIA(Glc)	173706
Y75_p0231	crl	257829	258230	+	0,024875622	DNA-binding transcriptional regulator	173706
Y75_p0233	proB	259612	260715	+	0,027173913	gamma-glutamate kinase	173707
Y75_p0234	proA	260727	261980	+	0,031897927	gamma-glutamylphosphate reductase	173707
Y75_p0235	ykfI	262552	262893	-	0,029239766	toxin of the YkfI-YafW toxin-antitoxin system	173708
Y75_p0236	yafW	262914	263231	-	0	antitoxin of the YkfI-YafW toxin-antitoxin system	173708
Y75_p0237	ykfH	263250	263471	-	0,315315315	hypothetical protein	173708
Y75_p0238	ykfG	263480	263956	-	0	DNA repair protein	173708
Y75_p0239	yafX	263972	264430	-	0	hypothetical protein	173708
Y75_p0241	ykfB	264844	265311	-	0,042735043	hypothetical protein	173709
Y75_p0242	yafY	265334	266191	-	0,067567568	DNA-binding transcriptional regulator	173709
Y75_p0243	yafZ	266408	267229	-	0,0486618	hypothetical protein	173710
Y75_p0244	ykfA	267321	268184	-	0,034722222	GTP-binding protein	173710
Y75_p0341	mhpE	373092	374105	+	0,908284024	4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase, class I	173733
Y75_p0344	frmB	376759	377592	-	29,98681055	esterase	173734
Y75_p0345	frmA	377686	378795	-	15,8954955	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase	173734
Y75_p0346	frmR	378830	379105	-	25,78985507	regulator protein that represses frmRAB operon	173734
Y75_p0351	yaiF	381728	382114	-	6,356826023	hypothetical protein	173736
Y75_p0352	yaiP	381963	383159	-	1,939014202	glucosyltransferase	173736
Y75_p0354	tauA	384456	385418	+	0,769470405	taurine transporter subunit	173737
Y75_p0355	tauB	385431	386198	+	0,485677083	taurine transporter subunit	173737
Y75_p0356	tauC	386195	387022	+	0,811594203	taurine transporter subunit	173737
Y75_p0357	tauD	387019	387870	+	8,110328639	taurine dioxygenase, 2-oxoglutarate-dependent	173737
Y75_p0363	yaiU	392239	393642	+	8,291746641	hypothetical protein	173739
Y75_p0364	yaiV	393685	394353	+	12,4775641	DNA-binding transcriptional regulator	173739
Y75_p0366	sbmA	395863	397083	+	9,212121212	transporter	173740
Y75_p0367	yaiW	397096	398190	+	10,3652968	DNA-binding transcriptional regulator	173740
Y75_p0377	aroL	405629	406153	+	43,36571429	shikimate kinase II	173741
Y75_p0378	yaiA	406203	406394	+	46,97916667	hypothetical protein	173741
Y75_p0379	aroM	406652	407329	+	17,44690265	hypothetical protein	173742
Y75_p0380	yaiE	407401	407685	+	35,12280702	hypothetical protein	173742
Y75_p0385	sbcC	411831	414977	-	6,984111853	exonuclease, dsDNA, ATP-dependent	173743
Y75_p0386	sbcD	414974	416176	-	8,046550291	exonuclease, dsDNA, ATP-dependent	173743
Y75_p0387	phoB	416366	417055	+	7,660869565	DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)	173744
Y75_p0388	phoR	417113	418408	+	6,101851852	sensory histidine kinase in two-component regulatory system with PhoB	173744
Y75_p0389	brnQ	418815	420134	+	26,59469697	branched chain amino acid transporter	173745
Y75_p0390	proY	420210	421583	+	14,56477438	cryptic proline transporter	173745
Y75_p0393	queA	424235	425305	+	30,70588235	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	173746
Y75_p0394	tgt	425361	426488	+	40,37943262	tRNA-guanine transglycosylase	173746
Y75_p0395	yajC	426511	426843	+	73,996997	SecYEG protein translocase auxillary subunit	173746
Y75_p0396	secD	426871	428718	+	77,93344156	SecYEG protein translocase auxillary subunit	173746
Y75_p0397	secF	428729	429700	+	62,55658436	SecYEG protein translocase auxillary subunit	173746
Y75_p0401	ybaD	432226	432675	+	46,11111111	hypothetical protein	173747
Y75_p0402	ribD	432679	433782	+	33,86775362	fused diaminohydroxyphosphoribosylaminopyrimidin e deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase	173747
Y75_p0403	ribE	433871	434341	+	67,34607219	riboflavin synthase beta chain	173747
Y75_p0404	nusB	434361	434780	+	70,76666667	transcription antitermination protein	173747
Y75_p0405	thiL	434858	435835	+	26,72392638	thiamin-monophosphate kinase	173748
Y75_p0406	pgpA	435813	436331	+	51,28323699	phosphatidylglycerophosphatase A	173748
Y75_p0408	dxs	437539	439401	-	47,68760064	1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring	173749
Y75_p0409	ispA	439426	440325	-	56,99111111	geranyltranstransferase	173749
Y75_p0410	xseB	440325	440567	-	66,60082305	exonuclease VII small subunit	173749
Y75_p0412	yajL	442275	442865	-	22,33164129	hypothetical protein	173750
Y75_p0413	panE	442828	443739	-	11,41885965	2-dehydropantoate reductase, NADPH-specific	173750
Y75_p0416	cyoE	446039	446929	-	148,7070707	protoheme IX farnesyltransferase	173751
Y75_p0417	cyoD	446941	447270	-	107,9393939	cytochrome o ubiquinol oxidase subunit IV	173751
Y75_p0418	cyoC	447270	447884	-	157,6130081	cytochrome o ubiquinol oxidase subunit III	173751
Y75_p0419	cyoB	447874	449865	-	101,8418675	cytochrome o ubiquinol oxidase subunit I	173751
Y75_p0420	cyoA	449887	450834	-	155,100211	cytochrome o ubiquinol oxidase subunit II	173751
Y75_p0421	ampG	451294	452769	-	39,76897019	muropeptide transporter	173752
Y75_p0422	yajG	452813	453391	-	31,26597582	lipoprotein	173752
Y75_p0425	clpP	455901	456524	+	57,90865385	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	173753
Y75_p0426	clpX	456650	457924	+	69,44705882	ATPase and-specificity subunit of ClpX-ClpP ATP-dependent serine protease	173753
Y75_p0432	ybaX	464076	464771	-	13,17241379	aluminum resistance protein	173754
Y75_p0433	ybaE	464836	466536	-	2,974720753	transporter subunit	173754
Y75_p0435	ybaO	467607	468065	+	25,8714597	DNA-binding transcriptional regulator	173755
Y75_p0436	mdlA	468095	469867	+	14,05865764	multidrug ABC transporter ATP-binding protein	173755
Y75_p0437	mdlB	469860	471641	+	16,30583614	multidrug ABC transporter ATP-binding protein	173755
Y75_p0438	glnK	471822	472160	+	0,740412979	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	173756
Y75_p0439	amtB	472190	473476	+	4,750582751	ammonium transporter	173756
Y75_p0447	hha	479314	479532	-	101,0045662	modulator of gene expression, with H-NS	173757
Y75_p0448	ybaJ	479558	479932	-	170,84	hypothetical protein	173757
Y75_p0449	acrB	480478	483627	-	26,60730159	multidrug efflux system protein	173758
Y75_p0450	acrA	483650	484843	-	31,60217755	multidrug efflux system	173758
Y75_p0453	ybaM	489334	489495	-	18,49382716	hypothetical protein	173759
Y75_p0454	priC	489509	490036	-	7,990530303	primosomal replication protein N''	173759
Y75_p0456	apt	490636	491187	+	36,61775362	adenine phosphoribosyltransferase	173760
Y75_p0457	dnaX	491316	493247	+	67,86335404	DNA polymerase III/DNA elongation factor III, tau and gamma subunits	173760
Y75_p0458	ybaB	493300	493629	+	60,66363636	hypothetical protein	173760
Y75_p0459	recR	493629	494234	+	67,73267327	gap repair protein	173760
Y75_p0472	ybaS	510865	511797	+	1,148981779	glutaminase	173761
Y75_p0473	ybaT	511800	513092	+	2,648105182	transporter	173761
Y75_p0475	ybbJ	513625	514080	-	22,34422658	inner membrane protein	173762
Y75_p0476	ybbK	514080	514997	-	10,83333333	protease, membrane anchored	173762
Y75_p0477	ybbL	515143	515820	+	5,815634218	transporter subunit	173763
Y75_p0478	ybbM	515807	516586	+	40,36025641	inner membrane protein	173763
Y75_p0479	ybbN	516649	517503	-	18,60818713	thioredoxin domain-containing protein	173764
Y75_p0480	ybbO	517564	518373	-	14,14567901	oxidoreductase with NAD(P)-binding Rossmann-fold domain	173764
Y75_p0481	tesA	518363	518989	-	18,77511962	multifunctional acyl-CoA thioesterase I, protease I, and lysophospholipase L1	173764
Y75_p0482	ybbA	518957	519643	+	5,090247453	transporter subunit	173765
Y75_p0483	ybbP	519640	522054	+	4,367701863	inner membrane protein	173765
Y75_p0485	ybbC	526805	527173	+	4,737127371	hypothetical protein	173766
Y75_p0486	ylbH	527173	527883	+	11,48587571	hypothetical protein	173766
Y75_p0487	ybbD	527864	528124	+	8,533604888	hypothetical protein	173766
Y75_p0489	ybbB	529356	530450	-	4,592694064	tRNA 2-selenouridine synthase, selenophosphate-dependent	173767
Y75_p0490	ybbS	530519	531445	-	0,9600863	transcriptional activator of the allD operon	173767
Y75_p0491	allA	531675	532157	+	2,204968944	ureidoglycolate hydrolase	173768
Y75_p0492	allR	532235	533050	+	20,77083333	DNA-binding transcriptional regulator	173768
Y75_p0493	gcl	533140	534921	+	0,628507295	glyoxylate carboligase	173769
Y75_p0494	hyi	534934	535710	+	0,522522523	hydroxypyruvate isomerase	173769
Y75_p0495	glxR	535810	536688	+	0,386803185	tartronate semialdehyde reductase	173770
Y75_p0497	ybbW	536857	538311	+	0,343642612	allantoin transporter	173770
Y75_p0498	allB	538371	539732	+	0,609397944	allantoinase	173770
Y75_p0499	ybbY	539789	541090	+	0,74577573	uracil/xanthine transporter	173770
Y75_p0500	glxK	541112	542257	+	1,042757417	glycerate kinase II	173770
Y75_p0501	ylbA	542485	543270	-	2,234096692	hypothetical protein	173771
Y75_p0502	allC	543281	544516	-	3,711165049	allantoate amidohydrolase	173771
Y75_p0503	allD	544538	545587	-	0,738095238	ureidoglycolate dehydrogenase	173771
Y75_p0506	ylbF	548850	549665	+	0,753676471	hypothetical protein	173772
Y75_p0507	ybcF	549662	550555	+	3,353467562	carbamate kinase	173772
Y75_p0508	purK	550750	551817	-	8,322097378	N5-carboxyaminoimidazole ribonucleotide synthase	173773
Y75_p0509	purE	551814	552323	-	12,04313725	N5-carboxyaminoimidazole ribonucleotide mutase	173773
Y75_p0510	lpxH	552441	553163	-	73,09681881	UDP-2,3-diacylglucosamine pyrophosphatase	173773
Y75_p0511	ppiB	553166	553660	-	43,22020202	peptidyl-prolyl cis-trans isomerase B	173773
Y75_p0514	ybcJ	555884	556096	-	34,89201878	RNA-binding protein	173774
Y75_p0515	folD	556098	556964	-	44,69088812	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase	173774
Y75_p0517	sfmC	558197	558889	+	2,640692641	pilin chaperone, periplasmic	173775
Y75_p0518	sfmD	558920	561523	+	1,992703533	outer membrane export usher protein	173775
Y75_p0519	sfmH	561565	562542	+	0,716463415	fimbrial-like adhesin protein	173775
Y75_p0520	sfmF	562553	563068	+	2,399224806	fimbrial-like adhesin protein	173775
Y75_p0527	renD	567285	567470	+	8,572890026	hypothetical protein	173776
Y75_p0528	emrE	567538	567870	+	18,87387387	multidrug resistance protein	173776
Y75_p0530	ybcL	570116	570667	+	3,09057971	kinase inhibitor	173777
Y75_p0531	ybcM	570677	571474	+	3,885964912	DNA-binding transcriptional regulator	173777
Y75_p0532	ybcN	571689	572144	+	1,037280702	hypothetical protein	173778
Y75_p0533	ninE	572144	572314	+	0,292397661	hypothetical protein	173778
Y75_p0534	ybcO	572307	572597	+	0,563573883	hypothetical protein	173778
Y75_p0535	rusA	572594	572956	+	0,716253444	endonuclease RUS	173778
Y75_p0536	ylcG	572953	573093	+	0,624113475	hypothetical protein	173778
Y75_p0540	essD	576621	576836	+	0,046296296	phage lysis protein	173779
Y75_p0541	ybcS	576836	577333	+	0,020080321	lysozyme	173779
Y75_p0542	rzpD	577330	577791	+	0,086580087	murein endopeptidase	173779
Y75_p0543	rzoD	577550	577732	+	0,218579235	lipoprotein	173779
Y75_p0554	ybcH	586314	587204	-	3,243546577	hypothetical protein	173780
Y75_p0555	nfrA	587205	590177	-	3,140262361	bacteriophage N4 receptor, outer membrane subunit	173780
Y75_p0556	nfrB	590164	592401	-	3,918677391	bacteriophage N4 receptor, inner membrane subunit	173780
Y75_p0557	cusS	592551	593993	-	7,672210672	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions	173781
Y75_p0558	cusR	593983	594666	-	7,706140351	DNA-binding response regulator in two-component regulatory system with CusS	173781
Y75_p0560	cusF	596354	596686	+	0,804804805	periplasmic copper-binding protein	173782
Y75_p0561	cusB	596702	597925	+	1,348039216	copper/silver efflux system, membrane fusion protein	173782
Y75_p0562	cusA	597937	601080	+	1,144402036	copper/silver efflux system, membrane component	173782
Y75_p0563	pheP	601182	602558	+	14,0573711	phenylalanine transporter	173782
Y75_p0566	ybdF	604741	605109	-	49,80216802	hypothetical protein	173783
Y75_p0567	ybdJ	605174	605422	-	22,56626506	inner membrane protein	173783
Y75_p0568	ybdK	605488	606606	-	1,46023235	gamma-glutamyl:cysteine ligase	173783
Y75_p0573	fes	612038	613162	+	2,217777778	enterobactin/ferric enterobactin esterase	173784
Y75_p0574	ybdZ	613165	613383	+	2,369863014	hypothetical protein	173784
Y75_p0575	entF	613380	617261	+	1,888201958	enterobactin synthase multienzyme complex component, ATP-dependent	173784
Y75_p0577	fepC	618607	619422	-	3,879901961	iron-enterobactin transporter subunit	173785
Y75_p0578	fepG	619419	620411	-	5,232628399	iron-enterobactin transporter subunit	173785
