TU_ID	Gene_name	Start	End	Strand	Expression	Gene_description
237	hupB	460666	461002	+	100	hupB
238	ppiD	461043	463010	+	100	ppiD
239	ppiD	461062	463010	+	100	ppiD
240	fadM	463584	464024	+	100	fadM
241	decR	467576	468065	+	100	decR
242	glnK-amtB	471780	473525	+	100	glnK-amtB
243	tesB	473525	474425	-	100	tesB
244	ylaC	478005	478512	-	100	ylaC
245	tomB-hha	479314	480018	-	100	tomB-hha
246	acrB	480478	483909	-	100	acrB
247	acrAB	480478	484922	-	100	acrAB
248	acrR	484923	485632	+	100	acrR
249	mscK	485716	489122	+	100	mscK
250	apt	490534	491187	+	100	apt
251	dnaX	491280	493247	+	100	dnaX
252	ybaB-recR	492933	494234	+	100	ybaB-recR
253	htpG	494041	496218	+	100	htpG
254	htpG	494299	496253	+	100	htpG
255	htpG	494308	496253	+	100	htpG
256	adk	496363	497043	+	100	adk
257	hemH	497255	498241	+	100	hemH
258	aes	498169	499275	-	100	aes
259	ybaL	500786	502519	-	100	ybaL
260	chiX	506428	506511	+	100	chiX
261	ybaQ	507415	507783	+	100	ybaQ
262	copA	508099	510635	-	100	copA
263	glsA-ybaT	510797	513092	+	100	glsA-ybaT
264	qmcA-ybbJ	513625	515047	-	100	qmcA-ybbJ
265	fetAB	515127	516586	+	100	fetAB
266	ybbN	516649	517714	-	100	ybbN
267	tesA-ybbO	517564	519173	-	100	tesA-ybbO
268	allS	530519	531524	-	100	allS
269	allA	531614	532157	+	100	allA
270	gcl-hyi-glxR-ybbW-allB-ybbY-glxK	533131	542257	+	100	gcl-hyi-glxR-ybbW-allB-ybbY-glxK
271	ybbY-glxK	539583	542257	+	100	ybbY-glxK
272	allDCE	542485	545635	-	100	allDCE
273	purEK	550750	552365	-	100	purEK
274	cysS	553800	555219	+	100	cysS
275	folD-ybcJ	555884	557004	-	100	folD-ybcJ
276	argU	563926	564022	+	100	argU
277	nmpC	574981	576093	-	100	nmpC
278	essD-rrrD-rzpD	576096	577791	+	100	essD-rrrD-rzpD
279	borD	577823	578144	-	100	borD
280	appY	582790	583653	+	100	appY
281	appY	582879	583653	+	100	appY
282	ompT	583903	584888	-	100	ompT
283	cusRS	592551	594685	-	100	cusRS
284	cusCFBA	594796	601080	+	100	cusCFBA
285	pheP	601152	602632	+	100	pheP
286	nfsB	603994	604676	-	100	nfsB
287	hokE	606954	607211	+	100	hokE
288	fepA-entD	608682	611890	-	100	fepA-entD
289	fes-ybdZ-entF-fepE	611910	618610	+	100	fes-ybdZ-entF-fepE
290	fepDGC	618607	621415	-	100	fepDGC
291	fepDGC	618607	621457	-	100	fepDGC
292	entS	621476	622773	+	100	entS
293	entS	621481	622773	+	100	entS
294	fepB	622777	623950	-	100	fepB
295	entCEBAH	624054	628936	+	100	entCEBAH
296	entH	628515	628936	+	100	entH
297	cstA	629078	631314	+	100	cstA
298	cstA	629087	631314	+	100	cstA
299	cstA	629096	631314	+	100	cstA
300	ybdN	634572	635909	-	100	ybdN
301	ahpCF	637916	640541	+	100	ahpCF
302	dsbG	637050	638023	-	100	dsbG
303	ahpCF	638144	640541	+	100	ahpCF
304	ahpF	638225	640541	+	100	ahpF
305	uspG	640662	641126	-	100	uspG
306	rna	643420	644257	-	100	rna
307	citCDEFXG	645854	651175	-	100	citCDEFXG
308	dpiBA	651207	653765	+	100	dpiBA
309	citCDEFXG	645854	651262	-	100	citCDEFXG
310	dpiBA	651395	653765	+	100	dpiBA
311	dcuC	655408	656505	-	100	dcuC
312	pagP	658070	658661	+	100	pagP
313	cspE	658691	659045	+	100	cspE
314	cspE	658794	659045	+	100	cspE
315	lipA	660795	661845	-	100	lipA
316	ybeD-lipB	663181	664250	-	100	ybeD-lipB
317	rsfS-rlmH-mrdAB-rlpA	665646	670616	-	100	rsfS-rlmH-mrdAB-rlpA
318	ybeL	676537	677044	+	100	ybeL
319	gltI-sroC-gltJKL	686074	689440	-	100	gltI-sroC-gltJKL
320	ybeZYX-lnt	690887	695013	-	100	ybeZYX-lnt
321	metT-leuW-glnUW-metU-glnVX	697936	698707	-	100	metT-leuW-glnUW-metU-glnVX
322	asnB	699057	700766	-	100	asnB
323	umpH	701118	701896	-	100	umpH
324	nagC	701918	703409	-	100	nagC
325	nagC	701918	703552	-	100	nagC
326	nagA	703147	704719	-	100	nagA
327	nagBAC-umpH	701118	705252	-	100	nagBAC-umpH
328	nagE	705384	707509	+	100	nagE
329	glnS	707543	709522	+	100	glnS
330	glnS	707604	709522	+	100	glnS
331	chiPQ	709780	711660	+	100	chiPQ
332	fur	711662	712260	-	100	fur
333	fur	711706	712260	-	100	fur
334	fur	711662	712267	-	100	fur
335	fur	711706	712267	-	100	fur
336	uof-fur	711662	712373	-	100	uof-fur
337	uof-fur	711706	712373	-	100	uof-fur
338	fldA-uof-fur	711662	713065	-	100	fldA-uof-fur
339	fldA-uof-fur	711706	713065	-	100	fldA-uof-fur
340	ybfE	713149	713483	-	100	ybfE
341	seqA-pgm	714486	716786	+	100	seqA-pgm
342	ybfHG	717491	718185	-	100	ybfHG
343	kdpFABC	725951	730393	-	100	kdpFABC
344	ybgA-phr	740464	742469	+	100	ybgA-phr
345	ybgA-phr	740524	742469	+	100	ybgA-phr
346	phr	740965	742469	+	100	phr
347	ybgI-pxpBCA-nei	744163	748270	+	100	ybgI-pxpBCA-nei
348	ybgI-pxpBCA-nei	744342	748270	+	100	ybgI-pxpBCA-nei
349	gltA	754670	756214	-	100	gltA
350	gltA	754670	756311	-	100	gltA
351	sdhCDAB-sucABCD	756502	766593	+	100	sdhCDAB-sucABCD
352	sdhDAB	756948	759994	+	100	sdhDAB
353	sucABCD	760130	766593	+	100	sucABCD
354	sucAB	760130	764510	+	100	sucAB
355	mngAB	767355	772155	+	100	mngAB
356	mngR	766697	767470	-	100	mngR
357	cydAB	772714	775725	+	100	cydAB
358	cydAB	772746	775725	+	100	cydAB
359	cydAB	772757	775725	+	100	cydAB
360	cydAB	772828	775725	+	100	cydAB
361	cydAB	772912	775725	+	100	cydAB
362	lysT-valT-lysW	782058	782462	+	100	lysT-valT-lysW
363	nadA-pnuC	783605	785429	+	100	nadA-pnuC
364	aroG	787135	788365	+	100	aroG
365	gpmA	788387	789176	-	100	gpmA
366	gpmA	788387	789214	-	100	gpmA
367	galK	790375	792007	-	100	galK
368	galETKM	789307	793625	-	100	galETKM
369	galE	792367	793625	-	100	galE
370	galE	791856	793625	-	100	galE
371	galET	791384	793625	-	100	galET
372	galET	791496	793625	-	100	galET
373	galETK	790159	793625	-	100	galETK
374	galETKM	789341	793630	-	100	galETKM
375	galE	792583	793630	-	100	galE
376	galET	791527	793630	-	100	galET
377	galETK	790375	793630	-	100	galETK
378	galETKM	789341	793721	-	100	galETKM
379	acrZ	796295	796466	+	100	acrZ
380	modABC	796539	799156	+	100	modABC
381	modABC	796606	799156	+	100	modABC
382	ybhC	807542	808865	-	100	ybhC
383	bioA	809512	810836	-	100	bioA
384	bioBFCD	810846	814491	+	100	bioBFCD
385	uvrB	814696	817091	+	100	uvrB
386	uvrB	815006	817091	+	100	uvrB
387	uvrB	815037	817091	+	100	uvrB
388	moaABCDE	818371	821291	+	100	moaABCDE
389	moaABCDE	818458	821291	+	100	moaABCDE
390	moaBCDE	819521	821291	+	100	moaBCDE
391	ybhL	821402	822132	+	100	ybhL
392	ybhQ	826145	826584	+	100	ybhQ
393	cecR-ybhGFSR	826546	832213	-	100	cecR-ybhGFSR
394	dinG-ybiB	834617	837754	+	100	dinG-ybiB
395	ybiI	839734	840028	-	100	ybiI
396	fiu	840793	843192	-	100	fiu
397	mcbA	843340	843697	-	100	mcbA
398	glnQ	847285	848175	-	100	glnQ
399	glnHPQ	847285	849591	-	100	glnHPQ
400	glnHPQ	847285	849742	-	100	glnHPQ
401	dps	849952	850494	-	100	dps
402	ompX	851753	852553	+	100	ompX
403	ompX	851963	852553	+	100	ompX
404	rybA-mntS	854269	854608	-	100	rybA-mntS
405	mntR-ybiR	854642	856309	+	100	mntR-ybiR
406	ldtB	856368	857330	-	100	ldtB
407	ybiT	857491	859099	+	100	ybiT
408	moeAB	865924	867938	-	100	moeAB
409	iaaA-gsiABCD	868081	874345	+	100	iaaA-gsiABCD
410	rimO	878254	879614	-	100	rimO
411	gstB	881398	882063	-	100	gstB
412	dacC	882197	883473	+	100	dacC
413	ybjG	884336	885052	-	100	ybjG
414	mdfA	885113	886482	+	100	mdfA
415	mdfA	885193	886482	+	100	mdfA
416	rybB	889521	889601	-	100	rybB
417	grxA	892040	892320	-	100	grxA
418	ybjC-nfsA-rimK-ybjN	892436	894977	+	100	ybjC-nfsA-rimK-ybjN
419	rimK-ybjN	893420	894977	+	100	rimK-ybjN
420	potFGHI	895178	899473	+	100	potFGHI
421	potFGHI	895280	899473	+	100	potFGHI
422	artJ	901192	902170	-	100	artJ
423	artPIQM	902239	905313	-	100	artPIQM
424	artPIQM	902239	905359	-	100	artPIQM
425	artPIQM	902239	905380	-	100	artPIQM
426	artPIQM	902239	905387	-	100	artPIQM
427	ybjQ-amiD	906061	907287	+	100	ybjQ-amiD
428	ybjP	905496	906067	-	100	ybjP
429	ltaE-ybjT	908396	910864	-	100	ltaE-ybjT
430	poxB	910875	912620	-	100	poxB
431	hcp-hcr	912726	915389	-	100	hcp-hcr
432	hcp-hcr-poxB	910875	915389	-	100	hcp-hcr-poxB
433	hcp-hcr	912726	915673	-	100	hcp-hcr
434	lysO	915502	916439	-	100	lysO
435	ybjX	919672	920647	-	100	ybjX
436	cspD	923910	924220	-	100	cspD
437	clpA	924624	927084	+	100	clpA
438	clpA	924636	927084	+	100	clpA
439	clpA	924754	927084	+	100	clpA
440	serW	927387	927550	-	100	serW
441	serW	927387	927587	-	100	serW
442	infA	927706	928023	-	100	infA
443	infA	927706	928229	-	100	infA
444	cydDC	929018	932575	-	100	cydDC
445	trxB	932563	933622	-	100	trxB
446	lrp	933872	934633	+	100	lrp
447	ftsK	934473	938757	+	100	ftsK
448	ftsK	934682	938757	+	100	ftsK
449	lolA-rarA	938872	940881	+	100	lolA-rarA
450	serS	940909	942309	+	100	serS
451	dmsABC	942367	946440	+	100	dmsABC
452	dmsABC	942422	946440	+	100	dmsABC
453	pflA	951845	952698	-	100	pflA
454	pflB	952751	955123	-	100	pflB
455	pflB	952751	955185	-	100	pflB
456	pflB	952751	955285	-	100	pflB
457	pflB	952751	955395	-	100	pflB
458	pflB	952751	955469	-	100	pflB
459	focA-pflB	952751	956037	-	100	focA-pflB
460	focA-pflB	952751	956047	-	100	focA-pflB
461	focA-pflB	952751	956358	-	100	focA-pflB
462	serC	959123	960285	+	100	serC
463	serC	959139	960285	+	100	serC
464	serC-aroA	959139	961639	+	100	serC-aroA
465	cmk-rpsA	962709	965212	+	100	cmk-rpsA
466	rpsA-ihfB	963261	965656	+	100	rpsA-ihfB
467	rpsA-ihfB	963403	965656	+	100	rpsA-ihfB
468	ihfB	965293	965656	+	100	ihfB
469	ycaR-kdsB	972186	973142	+	100	ycaR-kdsB
470	ycbJ	973216	974189	+	100	ycbJ
471	cmoM-mukFEB	974948	982330	+	100	cmoM-mukFEB
472	ldtD	982475	984438	+	100	ldtD
473	ycbK-gloC	984567	985841	+	100	ycbK-gloC
474	aspC	986063	987287	-	100	aspC
475	ompF	987438	988636	-	100	ompF
476	asnS	989129	990588	-	100	asnS
477	pncB	990698	991958	-	100	pncB
478	pepN	992135	994778	+	100	pepN
479	ssuEADCB	994821	999107	-	100	ssuEADCB
480	pyrD	1006276	1007322	+	100	pyrD
481	rlmL-uup	1009216	1013415	+	100	rlmL-uup
482	pqiABC	1013203	1017003	+	100	pqiABC
483	pqiABC	1013210	1017003	+	100	pqiABC
484	rmf	1017201	1017468	+	100	rmf
485	fabA	1017496	1018042	-	100	fabA
486	matP	1020003	1020481	+	100	matP
487	ompA	1020557	1021731	-	100	ompA
488	ompA	1020557	1021735	-	100	ompA
489	sulA	1021954	1022491	-	100	sulA
490	sxy	1022627	1023311	+	100	sxy
491	yccFS	1023274	1025909	-	100	yccFS
492	helD	1025982	1028069	+	100	helD
493	mgsA	1028101	1028585	-	100	mgsA
494	yccT	1028655	1029381	-	100	yccT
495	yccA	1032303	1032987	-	100	yccA
496	serT	1033095	1033263	-	100	serT
497	serT	1033134	1033263	-	100	serT
498	hyaABCDEF	1033528	1039178	+	100	hyaABCDEF
499	appCBXA	1039254	1043459	+	100	appCBXA
500	appA	1042143	1043459	+	100	appA
501	gfcA	1050983	1052246	-	100	gfcA
502	torR	1058806	1059528	-	100	torR
503	torCAD	1059600	1063942	+	100	torCAD
504	cbpAM	1064094	1065372	-	100	cbpAM
505	cbpAM	1064094	1065377	-	100	cbpAM
506	cbpAM	1064094	1065463	-	100	cbpAM
507	cbpAM	1064094	1065581	-	100	cbpAM
508	agp	1067103	1068401	+	100	agp
509	wrbA-yccJ	1068408	1069302	-	100	wrbA-yccJ
510	rutABCDEFG	1070055	1075570	-	100	rutABCDEFG
511	rutR	1075657	1076424	+	100	rutR
512	rutR	1075678	1076424	+	100	rutR
513	putA	1076464	1080469	-	100	putA
514	putP	1080712	1082382	+	100	putP
515	putP	1080723	1082382	+	100	putP
516	putP	1080729	1082382	+	100	putP
517	putP	1080754	1082382	+	100	putP
518	putP	1080835	1082382	+	100	putP
519	efeU_1U_2	1082851	1083729	+	100	efeU_1U_2
520	phoH	1086409	1087639	+	100	phoH
521	phoH	1086482	1087639	+	100	phoH
522	pgaABCD	1087650	1094067	-	100	pgaABCD
523	dgcT	1094385	1095778	+	100	dgcT
524	serX	1098928	1099039	-	100	serX
525	ycdZ	1101615	1102150	+	100	ycdZ
526	csgDEFG	1102214	1104698	-	100	csgDEFG
527	csgDEFG	1102214	1104707	-	100	csgDEFG
528	csgBAC	1105222	1106656	+	100	csgBAC
529	ymdA	1108074	1108424	+	100	ymdA
530	ymdAB-clsC	1108074	1110475	+	100	ymdAB-clsC
531	ymdAB	1108074	1109052	+	100	ymdAB
532	ymdB-clsC	1108502	1110475	+	100	ymdB-clsC
533	ymdB	1108502	1109052	+	100	ymdB
534	clsC	1108991	1110475	+	100	clsC
535	opgGH	1111956	1116259	+	100	opgGH
536	opgGH	1111977	1116259	+	100	opgGH
537	msyB	1116506	1116912	-	100	msyB
538	lpxL	1118361	1119408	-	100	lpxL
539	yceA	1119471	1120558	+	100	yceA
540	yceJI	1120600	1121770	-	100	yceJI
541	solA-yceO	1122006	1123308	-	100	solA-yceO
542	bssS	1123400	1123719	-	100	bssS
543	bssS	1123400	1123731	-	100	bssS
544	bssS	1123400	1123757	-	100	bssS
545	dinI	1123941	1124208	-	100	dinI
546	pyrC	1124260	1125342	-	100	pyrC
547	grxB	1126106	1126802	-	100	grxB
548	rimJ	1128221	1128845	+	100	rimJ
549	flgMN	1132113	1132864	-	100	flgMN
550	flgAMN	1132113	1133584	-	100	flgAMN
551	flgBCDEFGHIJ	1133692	1141011	+	100	flgBCDEFGHIJ
552	flgKL	1141050	1143685	+	100	flgKL
553	rne	1143881	1147120	-	100	rne
554	rne	1143881	1147427	-	100	rne
555	rne	1143881	1147461	-	100	rne
556	rne	1143881	1147572	-	100	rne
557	sraB	1149288	1149451	+	100	sraB
558	yceD-rpmF	1149348	1150239	+	100	yceD-rpmF
