GeneID	Gene_name	Start	End	Strand	Expression	Gene_description	OperonID
Y75_p3438	glmU	3722603	3723973	+	171,7972283	fused N-acetyl glucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyl transferase	1763870
Y75_p0448	ybaJ	479558	479932	-	170,84	hypothetical protein	173757
Y75_p0883	rpsA	963539	965212	+	168,6158901	30S ribosomal protein S1	173849
Y75_p3436	atpD	3720428	3721810	+	168,3615329	F1 sector of membrane-bound ATP synthase subunit beta	174355
Y75_p0856	infA	927769	927987	-	167,2465753	translation initiation factor IF-1	1762934
Y75_p3467	yidC	3754815	3756461	-	165,6454159	cytoplasmic insertase into membrane protein, Sec system	174363
Y75_p3636	dppF	3938669	3939673	+	165,521393	dipeptide transporter	174398
Y75_p1210	hns	1295208	1295621	-	163,8550725	global DNA-binding transcriptional dual regulator H-NS	1763072
Y75_p0706	sucB	763066	764283	+	163,5853859	dihydrolipoyltranssuccinase	173810
Y75_p0165	rpsB	189874	190599	+	163,5179063	30S ribosomal protein S2	1762695
Y75_p2842	zapA	3055390	3055719	+	162,6212121	protein that localizes to the cytokinetic ring	1763651
Y75_p3439	glmS	3724135	3725964	+	162,4486339	L-glutamine:D-fructose-6-phosphate aminotransferase	1763871
Y75_p3215	nusG	3459515	3460060	-	161,6282051	transcription termination factor	174311
Y75_p3561	envC	3853440	3854699	-	161,2595238	protease with a role in cell division	174382
Y75_p0175	lpxD	200971	201996	+	161,1920078	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	173695
Y75_p0115	acnB	131615	134212	+	161,1847575	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	1762675
Y75_p0854	clpS	924457	924777	+	161,0031153	regulatory protein for ClpA substrate-specificity	173843
Y75_p2634	csrA	2818739	2818924	-	160,6774194	pleiotropic regulatory protein for carbon source metabolism	1763594
Y75_p0662	fur	711744	712190	-	160,3646532	DNA-binding transcriptional dual regulator	1762871
Y75_p0418	cyoC	447270	447884	-	157,6130081	cytochrome o ubiquinol oxidase subunit III	173751
Y75_p0420	cyoA	449887	450834	-	155,100211	cytochrome o ubiquinol oxidase subunit II	173751
Y75_p3126	npr	3348943	3349215	+	154,5604396	phosphohistidinoprotein-hexose phosphotransferase component of N-regulated PTS system (Npr)	174288
Y75_p4063	purA	4410489	4411787	+	153,7151655	adenylosuccinate synthetase	1764088
Y75_p3525	rpoZ	3819156	3819431	-	152,3586957	RNA polymerase, omega subunit	174374
Y75_p3091	nusA	3317016	3318503	-	151,3326613	transcription termination/antitermination L factor	174281
Y75_p3216	secE	3460062	3460445	-	150,5963542	preprotein translocase membrane subunit	174311
Y75_p4286	yjjY	4646204	4646344	+	150,3617021	hypothetical protein	1764183
Y75_p3392	rho	3670127	3671386	-	149,3968254	transcription termination factor	1763852
Y75_p0416	cyoE	446039	446929	-	148,7070707	protoheme IX farnesyltransferase	173751
Y75_p2621	proW	2805788	2806852	+	146,3014085	glycine betaine transporter subunit	174179
Y75_p3251	rpmE	3510578	3510790	-	145,5680751	50S ribosomal protein L31	1763797
Y75_p3149	sspA	3377759	3378397	-	145,0735524	stringent starvation protein A	174294
Y75_p1219	oppC	1306670	1307578	+	145,0550055	oligopeptide transporter subunit	173908
Y75_p0722	ybgF	781142	781933	+	144,2171717	hypothetical protein	173815
Y75_p3148	sspB	3377256	3377753	-	143,8212851	ClpXP protease-specificity-enhancing factor	174294
Y75_p3084	deaD	3306948	3308837	-	142,5285714	ATP-dependent RNA helicase	1763743
Y75_p2378	crr	2542402	2542911	+	142,3705882	PTS system glucose-specific transporter subunit IIA	174124
Y75_p1221	oppF	1308600	1309604	+	142,2159204	oligopeptide transporter subunit	173908
Y75_p0075	leuL	83622	83708	-	141,2298851	leu operon leader peptide	1762664
Y75_p1065	fabF	1154638	1155879	+	138,8929147	3-oxoacyl-[acyl-carrier-protein] synthase II	1763006
Y75_p2377	ptsI	2540634	2542361	+	138,8663194	PEP-protein phosphotransferase of PTS system	174124
Y75_s0002	sgrS	77367	77593	+	138,7136564	-	1764186
Y75_p3570	lldR	3861707	3862483	-	138,4375804	DNA-binding transcriptional repressor	174384
Y75_p0707	sucC	764558	765724	+	138,2313625	succinyl-CoA synthetase subunit beta	173811
Y75_p3827	slyD	4163041	4163631	+	138,0439932	FKBP-type peptidyl prolyl cis-trans isomerase	1764005
Y75_p2843	ygfA	3056019	3056567	+	138,0145719	ligase	1763652
Y75_p2934	exbB	3151028	3151762	-	137,5455782	membrane spanning protein in TonB-ExbB-ExbD complex	174244
Y75_p3526	gmk	3819486	3820109	-	137,5288462	guanylate kinase	174374
Y75_p1106	icd	1197822	1199072	+	137,5179856	isocitrate dehydrogenase,-specific for NADP+	1763018
Y75_p3786	aroK	4122474	4122995	+	137,4923372	shikimate kinase I	174428
Y75_p0008	talB	8238	9191	+	137,0031447	transaldolase B	173655
Y75_p1800	yebO	1911097	1911384	-	136,2465278	hypothetical protein	1763326
Y75_p3226	sthA	3477013	3478413	+	135,7987152	pyridine nucleotide transhydrogenase, soluble	1763787
Y75_p4112	ppa	4454924	4455454	-	132,834275	inorganic pyrophosphatase	1764111
Y75_p0700	gltA	754729	756012	-	132,0093458	citrate synthase	1762881
Y75_p3293	fdoH	3555044	3555946	+	129,7619048	formate dehydrogenase-O, Fe-S subunit	174328
Y75_p3779	nudE	4115389	4115949	+	129,311943	ADP-ribose diphosphatase	1763998
Y75_p2249	nuoE	2407344	2407844	-	129,1177645	NADH:ubiquinone oxidoreductase, chain E	174097
Y75_p2679	rpoS	2866337	2867212	-	128,9808661	RNA polymerase, sigma S (sigma 38) factor	1763607
Y75_p3295	fdhE	3556575	3557504	+	128,8	formate dehydrogenase formation protein	174328
Y75_p3893	yrdD	4209576	4210118	+	128,6003683	DNA topoisomerase	174446
Y75_p3099	rrmJ	3328012	3328641	-	128,347619	23S rRNA methyltransferase	1763750
Y75_p0050	apaG	51229	51606	-	127,6243386	protein associated with Co2+ and Mg2+ efflux	173668
Y75_p3098	ftsH	3325978	3327912	-	127,1245478	protease, ATP-dependent zinc-metallo	174282
Y75_p0096	secM	107705	108217	+	125,9493177	regulator of secA translation	173677
Y75_p2252	nuoA	2410421	2410864	-	124,972973	NADH:ubiquinone oxidoreductase, membrane subunit A	174097
Y75_p3278	sodA	3536373	3536993	-	124,2254428	superoxide dismutase, Mn	1763815
Y75_p2524	rseB	2707576	2708532	-	123,0083595	anti-sigma factor	174159
Y75_p3127	yrbL	3349429	3350061	+	122,2701422	hypothetical protein	1763756
Y75_p3341	tatB	3615070	3615585	-	121,8643411	TatABCE protein translocation system subunit	174339
Y75_p3337	ubiD	3611322	3612815	-	121,5629183	3-octaprenyl-4-hydroxybenzoate decarboxylase	174338
Y75_p2486	suhB	2663220	2664023	+	121,130597	inositol monophosphatase	1763540
Y75_p3342	tatA	3615589	3615858	-	121,0962963	TatABCE protein translocation system subunit	174339
Y75_p0166	tsf	190857	191708	+	120,3098592	protein chain elongation factor EF-Ts	173692
Y75_p3424	asnC	3710800	3711258	+	119,3246187	DNA-binding transcriptional dual regulator	1763868
Y75_p4035	ecnA	4382119	4382244	+	119,2380952	entericidin A membrane lipoprotein, antidote entericidin B	1764079
Y75_p3369	yifL	3643078	3643281	-	119,1715686	lipoprotein	174344
Y75_p0082	ftsL	91032	91397	+	118,9071038	membrane bound cell division protein at septum containing leucine zipper motif	173676
Y75_p3926	ubiC	4257218	4257715	+	118,8192771	chorismate pyruvate lyase	174451
Y75_p0174	hlpA	200482	200967	+	117,755144	periplasmic chaperone	173695
Y75_p2717	pyrG	2907807	2909444	-	117,1324786	CTP synthetase	174200
Y75_p4280	rob	4640243	4641112	-	116,791954	DNA-binding transcriptional activator	1764181
Y75_p0424	tig	454357	455655	+	116,7598152	peptidyl-prolyl cis/trans isomerase	1762779
Y75_p3568	yibK	3859849	3860322	-	115,9409283	rRNA methylase	1763911
Y75_p1220	oppD	1307590	1308603	+	115,7534517	oligopeptide transporter subunit	173908
Y75_p3210	rpoB	3452530	3456558	-	115,6706379	RNA polymerase subunit beta	174309
Y75_p3571	lldP	3862483	3864138	-	115,5778986	L-lactate permease	174384
Y75_p3524	spoT	3817029	3819137	-	115,407302	bifunctional (p)ppGpp synthetase II/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	174374
Y75_p2933	exbD	3150596	3151021	-	114,9530516	membrane spanning protein in TonB-ExbB-ExbD complex	174244
Y75_p2376	ptsH	2540332	2540589	+	114,2829457	PTS system phosphohistidinoprotein-hexose phosphotransferase	174124
Y75_p1030	yceP	1123400	1123654	-	114,1686275	hypothetical protein	1762995
Y75_p3682	uspA	4000992	4001426	-	114,1149425	universal stress global response regulator	1763964
Y75_p3294	fdoI	3555943	3556578	+	112,2468553	formate dehydrogenase-O, cytochrome b556 subunit	174328
Y75_p2402	eutB	2563886	2565247	-	112,1292217	ethanolamine ammonia-lyase, large subunit, heavy chain	174131
Y75_p4034	efp	4381501	4382067	+	111,973545	Elongation factor EF-P	1764078
Y75_p0369	yaiZ	398817	399029	+	111,6713615	inner membrane protein	1762757
Y75_p3196	hupA	3437250	3437522	-	111,5494505	HU, DNA-binding transcriptional regulator subunit alpha	174306
Y75_p3787	aroB	4123052	4124140	+	110,7392103	3-dehydroquinate synthase	174428
Y75_p2463	yfgJ	2635377	2635592	-	110,3240741	hypothetical protein	174147
Y75_p3885	yhdL	4202889	4203107	+	110,3013699	hypothetical protein	1764011
Y75_p0173	yaeT	197928	200360	+	109,2334566	hypothetical protein	173694
Y75_p2680	nlpD	2867392	2868531	-	108,1868421	outer membrane lipoprotein	1763608
Y75_p0417	cyoD	446941	447270	-	107,9393939	cytochrome o ubiquinol oxidase subunit IV	173751
Y75_p2564	smpA	2753383	2753724	+	107,9181287	small membrane lipoprotein	1763573
Y75_p0884	ihfB	965372	965656	+	107,2350877	integration host factor (IHF), DNA-binding protein subunit beta	1762947
Y75_p1619	slyA	1723226	1723660	-	107,0988506	DNA-binding transcriptional activator	1763244
Y75_p0168	frr	192872	193429	+	106,9874552	ribosome recycling factor	173693
Y75_p3168	mreD	3399364	3399852	-	106,8732106	cell wall structural complex MreBCD transmembrane component MreD	174298
Y75_p0172	yaeL	196546	197898	+	106,315595	zinc metallopeptidase	173694
Y75_p4059	hflX	4406474	4407754	+	106,2435597	GTPase	174476
Y75_p1687	ihfA	1798089	1798388	-	106,0666667	integration host factor (IHF), DNA-binding protein subunit alpha	173990
Y75_p2282	accD	2439580	2440494	-	106,0349727	acetylCoA carboxylase, beta (carboxyltransferase) subunit	174106
Y75_p2545	yfiA	2736932	2737273	+	105,8596491	cold shock protein associated with 30S ribosomal subunit	174162
Y75_p0708	sucD	765724	766593	+	105,2586207	succinyl-CoA synthetase subunit alpha	173811
Y75_p0178	lpxB	203348	204496	+	105,078329	tetraacyldisaccharide-1-P synthase	173695
Y75_p2485	yfhQ	2662361	2663101	-	105,025641	methyltransferase	1763539
Y75_p3225	fabR	3476032	3476736	-	104,9768519	DNA-binding transcriptional repressor	174314
Y75_p1914	fliL	2022877	2023341	+	104,3827957	flagellar biosynthesis protein	174037
Y75_p3258	rraA	3518473	3518958	+	103,3024691	ribonuclease E (RNase E) inhibitor protein	1763801
Y75_p0202	mltD	232597	233955	-	102,2531273	membrane-bound lytic murein transglycosylase D	173702
Y75_p3090	infB	3314319	3316991	-	102,1964085	fused protein chain initiation factor 2, IF2	174281
Y75_p1028	yceO	1122006	1122146	-	102,1702128	hypothetical protein	173879
Y75_p0123	can	142008	142670	-	101,9396682	carbonic anhydrase	1762681
Y75_p2054	gatB	2177539	2177823	-	101,9298246	PTS system galactitol-specific transporter subunit IIB	174060
Y75_p0419	cyoB	447874	449865	-	101,8418675	cytochrome o ubiquinol oxidase subunit I	173751
Y75_p2309	yfcZ	2467218	2467502	-	101,6315789	hypothetical protein	1763490
Y75_p3259	yiiU	3519043	3519288	-	101,4430894	hypothetical protein	1763802
Y75_p0447	hha	479314	479532	-	101,0045662	modulator of gene expression, with H-NS	173757
Y75_p1841	nudB	1951016	1951468	-	100,589404	dATP pyrophosphohydrolase	174020
Y75_p0027	lspA	25207	25701	+	100,3717172	prolipoprotein signal peptidase	173661
Y75_p4037	sugE	4382677	4382994	+	100,009434	multidrug efflux system protein	1764081
