TU_ID	Gene_name	Start	End	Strand	Expression	Gene_description
237	gcl-hyi-glxR-ybbW-allB-ybbY-glxK	533131	542257	+	100	gcl-hyi-glxR-ybbW-allB-ybbY-glxK
238	ybbY-glxK	539583	542257	+	100	ybbY-glxK
239	allDCE	542485	545635	-	100	allDCE
240	purEK	550750	552365	-	100	purEK
241	cysS	553800	555219	+	100	cysS
242	folD-ybcJ	555884	557004	-	100	folD-ybcJ
243	argU	563926	564022	+	100	argU
244	nmpC	574981	576093	-	100	nmpC
245	essD-rrrD-rzpD	576096	577791	+	100	essD-rrrD-rzpD
246	borD	577823	578144	-	100	borD
247	appY	582790	583653	+	100	appY
248	appY	582879	583653	+	100	appY
249	ompT	583903	584888	-	100	ompT
250	cusRS	592551	594685	-	100	cusRS
251	cusCFBA	594796	601080	+	100	cusCFBA
252	pheP	601152	602632	+	100	pheP
253	nfsB	603994	604676	-	100	nfsB
254	hokE	606954	607211	+	100	hokE
255	fepA-entD	608682	611890	-	100	fepA-entD
256	fes-ybdZ-entF-fepE	611910	618610	+	100	fes-ybdZ-entF-fepE
257	fepDGC	618607	621415	-	100	fepDGC
258	fepDGC	618607	621457	-	100	fepDGC
259	entS	621476	622773	+	100	entS
260	entS	621481	622773	+	100	entS
261	fepB	622777	623950	-	100	fepB
262	entCEBAH	624054	628936	+	100	entCEBAH
263	entH	628515	628936	+	100	entH
264	cstA	629078	631314	+	100	cstA
265	cstA	629087	631314	+	100	cstA
266	cstA	629096	631314	+	100	cstA
267	ybdN	634572	635909	-	100	ybdN
268	ahpCF	637916	640541	+	100	ahpCF
269	dsbG	637050	638023	-	100	dsbG
270	ahpCF	638144	640541	+	100	ahpCF
271	ahpF	638225	640541	+	100	ahpF
272	uspG	640662	641126	-	100	uspG
273	rna	643420	644257	-	100	rna
274	citCDEFXG	645854	651175	-	100	citCDEFXG
275	dpiBA	651207	653765	+	100	dpiBA
276	citCDEFXG	645854	651262	-	100	citCDEFXG
277	dpiBA	651395	653765	+	100	dpiBA
278	dcuC	655408	656505	-	100	dcuC
279	pagP	658070	658661	+	100	pagP
280	cspE	658691	659045	+	100	cspE
281	cspE	658794	659045	+	100	cspE
282	lipA	660795	661845	-	100	lipA
283	ybeD-lipB	663181	664250	-	100	ybeD-lipB
284	rsfS-rlmH-mrdAB-rlpA	665646	670616	-	100	rsfS-rlmH-mrdAB-rlpA
285	ybeL	676537	677044	+	100	ybeL
286	gltI-sroC-gltJKL	686074	689440	-	100	gltI-sroC-gltJKL
287	ybeZYX-lnt	690887	695013	-	100	ybeZYX-lnt
288	metT-leuW-glnUW-metU-glnVX	697936	698707	-	100	metT-leuW-glnUW-metU-glnVX
289	asnB	699057	700766	-	100	asnB
290	umpH	701118	701896	-	100	umpH
291	nagC	701918	703409	-	100	nagC
292	nagC	701918	703552	-	100	nagC
293	nagA	703147	704719	-	100	nagA
294	nagBAC-umpH	701118	705252	-	100	nagBAC-umpH
295	nagE	705384	707509	+	100	nagE
296	glnS	707543	709522	+	100	glnS
297	glnS	707604	709522	+	100	glnS
298	chiPQ	709780	711660	+	100	chiPQ
299	fur	711662	712260	-	100	fur
300	fur	711706	712260	-	100	fur
301	fur	711662	712267	-	100	fur
302	fur	711706	712267	-	100	fur
303	uof-fur	711662	712373	-	100	uof-fur
304	uof-fur	711706	712373	-	100	uof-fur
305	fldA-uof-fur	711662	713065	-	100	fldA-uof-fur
306	fldA-uof-fur	711706	713065	-	100	fldA-uof-fur
307	ybfE	713149	713483	-	100	ybfE
308	seqA-pgm	714486	716786	+	100	seqA-pgm
309	ybfHG	717491	718185	-	100	ybfHG
310	kdpFABC	725951	730393	-	100	kdpFABC
311	ybgA-phr	740464	742469	+	100	ybgA-phr
312	ybgA-phr	740524	742469	+	100	ybgA-phr
313	phr	740965	742469	+	100	phr
314	ybgI-pxpBCA-nei	744163	748270	+	100	ybgI-pxpBCA-nei
315	ybgI-pxpBCA-nei	744342	748270	+	100	ybgI-pxpBCA-nei
316	gltA	754670	756214	-	100	gltA
317	gltA	754670	756311	-	100	gltA
318	sdhCDAB-sucABCD	756502	766593	+	100	sdhCDAB-sucABCD
319	sdhDAB	756948	759994	+	100	sdhDAB
320	sucABCD	760130	766593	+	100	sucABCD
321	sucAB	760130	764510	+	100	sucAB
322	mngAB	767355	772155	+	100	mngAB
323	mngR	766697	767470	-	100	mngR
324	cydAB	772714	775725	+	100	cydAB
325	cydAB	772746	775725	+	100	cydAB
326	cydAB	772757	775725	+	100	cydAB
327	cydAB	772828	775725	+	100	cydAB
328	cydAB	772912	775725	+	100	cydAB
329	lysT-valT-lysW	782058	782462	+	100	lysT-valT-lysW
330	nadA-pnuC	783605	785429	+	100	nadA-pnuC
331	aroG	787135	788365	+	100	aroG
332	gpmA	788387	789176	-	100	gpmA
333	gpmA	788387	789214	-	100	gpmA
334	galK	790375	792007	-	100	galK
335	galETKM	789307	793625	-	100	galETKM
336	galE	792367	793625	-	100	galE
337	galE	791856	793625	-	100	galE
338	galET	791384	793625	-	100	galET
339	galET	791496	793625	-	100	galET
340	galETK	790159	793625	-	100	galETK
341	galETKM	789341	793630	-	100	galETKM
342	galE	792583	793630	-	100	galE
343	galET	791527	793630	-	100	galET
344	galETK	790375	793630	-	100	galETK
345	galETKM	789341	793721	-	100	galETKM
346	ybhC	807542	808865	-	100	ybhC
347	bioA	809512	810836	-	100	bioA
348	bioBFCD	810846	814491	+	100	bioBFCD
349	uvrB	814696	817091	+	100	uvrB
350	uvrB	815006	817091	+	100	uvrB
351	uvrB	815037	817091	+	100	uvrB
352	moaABCDE	818371	821291	+	100	moaABCDE
353	moaABCDE	818458	821291	+	100	moaABCDE
354	moaBCDE	819521	821291	+	100	moaBCDE
355	ybhL	821402	822132	+	100	ybhL
356	ybhQ	826145	826584	+	100	ybhQ
357	cecR-ybhGFSR	826546	832213	-	100	cecR-ybhGFSR
358	dinG-ybiB	834617	837754	+	100	dinG-ybiB
359	ybiI	839734	840028	-	100	ybiI
360	fiu	840793	843192	-	100	fiu
361	mcbA	843340	843697	-	100	mcbA
362	glnQ	847285	848175	-	100	glnQ
363	glnHPQ	847285	849591	-	100	glnHPQ
364	glnHPQ	847285	849742	-	100	glnHPQ
365	dps	849952	850494	-	100	dps
366	ompX	851753	852553	+	100	ompX
367	ompX	851963	852553	+	100	ompX
368	rybA-mntS	854269	854608	-	100	rybA-mntS
369	mntR-ybiR	854642	856309	+	100	mntR-ybiR
370	ldtB	856368	857330	-	100	ldtB
371	ybiT	857491	859099	+	100	ybiT
372	moeAB	865924	867938	-	100	moeAB
373	iaaA-gsiABCD	868081	874345	+	100	iaaA-gsiABCD
374	rimO	878254	879614	-	100	rimO
375	gstB	881398	882063	-	100	gstB
376	dacC	882197	883473	+	100	dacC
377	ybjG	884336	885052	-	100	ybjG
378	mdfA	885113	886482	+	100	mdfA
379	mdfA	885193	886482	+	100	mdfA
380	rybB	889521	889601	-	100	rybB
381	grxA	892040	892320	-	100	grxA
382	ybjC-nfsA-rimK-ybjN	892436	894977	+	100	ybjC-nfsA-rimK-ybjN
383	rimK-ybjN	893420	894977	+	100	rimK-ybjN
384	potFGHI	895178	899473	+	100	potFGHI
385	potFGHI	895280	899473	+	100	potFGHI
386	artJ	901192	902170	-	100	artJ
387	artPIQM	902239	905313	-	100	artPIQM
388	artPIQM	902239	905359	-	100	artPIQM
389	artPIQM	902239	905380	-	100	artPIQM
390	artPIQM	902239	905387	-	100	artPIQM
391	ybjQ-amiD	906061	907287	+	100	ybjQ-amiD
392	ybjP	905496	906067	-	100	ybjP
393	ltaE-ybjT	908396	910864	-	100	ltaE-ybjT
394	poxB	910875	912620	-	100	poxB
395	hcp-hcr	912726	915389	-	100	hcp-hcr
396	hcp-hcr-poxB	910875	915389	-	100	hcp-hcr-poxB
397	hcp-hcr	912726	915673	-	100	hcp-hcr
398	lysO	915502	916439	-	100	lysO
399	ybjX	919672	920647	-	100	ybjX
400	cspD	923910	924220	-	100	cspD
401	clpA	924624	927084	+	100	clpA
402	clpA	924636	927084	+	100	clpA
403	clpA	924754	927084	+	100	clpA
404	serW	927387	927550	-	100	serW
405	serW	927387	927587	-	100	serW
406	infA	927706	928023	-	100	infA
407	infA	927706	928229	-	100	infA
408	cydDC	929018	932575	-	100	cydDC
409	trxB	932563	933622	-	100	trxB
410	lrp	933872	934633	+	100	lrp
411	ftsK	934473	938757	+	100	ftsK
412	ftsK	934682	938757	+	100	ftsK
413	lolA-rarA	938872	940881	+	100	lolA-rarA
414	serS	940909	942309	+	100	serS
415	dmsABC	942367	946440	+	100	dmsABC
416	dmsABC	942422	946440	+	100	dmsABC
417	pflA	951845	952698	-	100	pflA
418	pflB	952751	955123	-	100	pflB
419	pflB	952751	955185	-	100	pflB
420	pflB	952751	955285	-	100	pflB
421	pflB	952751	955395	-	100	pflB
422	pflB	952751	955469	-	100	pflB
423	focA-pflB	952751	956037	-	100	focA-pflB
424	focA-pflB	952751	956047	-	100	focA-pflB
425	focA-pflB	952751	956358	-	100	focA-pflB
426	serC	959123	960285	+	100	serC
427	serC	959139	960285	+	100	serC
428	serC-aroA	959139	961639	+	100	serC-aroA
429	cmk-rpsA	962709	965212	+	100	cmk-rpsA
430	rpsA-ihfB	963261	965656	+	100	rpsA-ihfB
431	rpsA-ihfB	963403	965656	+	100	rpsA-ihfB
432	ihfB	965293	965656	+	100	ihfB
433	ycaR-kdsB	972186	973142	+	100	ycaR-kdsB
434	ycbJ	973216	974189	+	100	ycbJ
435	cmoM-mukFEB	974948	982330	+	100	cmoM-mukFEB
436	ldtD	982475	984438	+	100	ldtD
437	ycbK-gloC	984567	985841	+	100	ycbK-gloC
438	aspC	986063	987287	-	100	aspC
439	ompF	987438	988636	-	100	ompF
440	asnS	989129	990588	-	100	asnS
441	pncB	990698	991958	-	100	pncB
442	pepN	992135	994778	+	100	pepN
443	ssuEADCB	994821	999107	-	100	ssuEADCB
444	pyrD	1006276	1007322	+	100	pyrD
445	rlmL-uup	1009216	1013415	+	100	rlmL-uup
446	pqiABC	1013203	1017003	+	100	pqiABC
447	pqiABC	1013210	1017003	+	100	pqiABC
448	rmf	1017201	1017468	+	100	rmf
449	fabA	1017496	1018042	-	100	fabA
450	matP	1020003	1020481	+	100	matP
451	ompA	1020557	1021731	-	100	ompA
452	ompA	1020557	1021735	-	100	ompA
453	sulA	1021954	1022491	-	100	sulA
454	sxy	1022627	1023311	+	100	sxy
455	yccFS	1023274	1025909	-	100	yccFS
456	helD	1025982	1028069	+	100	helD
457	mgsA	1028101	1028585	-	100	mgsA
458	yccT	1028655	1029381	-	100	yccT
459	yccA	1032303	1032987	-	100	yccA
460	serT	1033095	1033263	-	100	serT
461	serT	1033134	1033263	-	100	serT
462	hyaABCDEF	1033528	1039178	+	100	hyaABCDEF
463	appCBXA	1039254	1043459	+	100	appCBXA
464	appA	1042143	1043459	+	100	appA
465	gfcA	1050983	1052246	-	100	gfcA
466	torR	1058806	1059528	-	100	torR
467	torCAD	1059600	1063942	+	100	torCAD
468	cbpAM	1064094	1065372	-	100	cbpAM
469	cbpAM	1064094	1065377	-	100	cbpAM
470	cbpAM	1064094	1065463	-	100	cbpAM
471	cbpAM	1064094	1065581	-	100	cbpAM
472	agp	1067103	1068401	+	100	agp
473	wrbA-yccJ	1068408	1069302	-	100	wrbA-yccJ
474	rutABCDEFG	1070055	1075570	-	100	rutABCDEFG
475	rutR	1075657	1076424	+	100	rutR
476	rutR	1075678	1076424	+	100	rutR
477	putA	1076464	1080469	-	100	putA
478	putP	1080712	1082382	+	100	putP
479	putP	1080723	1082382	+	100	putP
480	putP	1080729	1082382	+	100	putP
481	putP	1080754	1082382	+	100	putP
482	putP	1080835	1082382	+	100	putP
483	efeU_1U_2	1082851	1083729	+	100	efeU_1U_2
484	phoH	1086409	1087639	+	100	phoH
485	phoH	1086482	1087639	+	100	phoH
486	pgaABCD	1087650	1094067	-	100	pgaABCD
487	dgcT	1094385	1095778	+	100	dgcT
488	serX	1098928	1099039	-	100	serX
489	ycdZ	1101615	1102150	+	100	ycdZ
490	csgDEFG	1102214	1104698	-	100	csgDEFG
491	csgDEFG	1102214	1104707	-	100	csgDEFG
492	csgBAC	1105222	1106656	+	100	csgBAC
493	ymdA	1108074	1108424	+	100	ymdA
494	ymdAB-clsC	1108074	1110475	+	100	ymdAB-clsC
495	ymdAB	1108074	1109052	+	100	ymdAB
496	ymdB-clsC	1108502	1110475	+	100	ymdB-clsC
497	ymdB	1108502	1109052	+	100	ymdB
498	clsC	1108991	1110475	+	100	clsC
499	opgGH	1111956	1116259	+	100	opgGH
500	opgGH	1111977	1116259	+	100	opgGH
501	msyB	1116506	1116912	-	100	msyB
502	lpxL	1118361	1119408	-	100	lpxL
503	yceA	1119471	1120558	+	100	yceA
504	yceJI	1120600	1121770	-	100	yceJI
505	solA-yceO	1122006	1123308	-	100	solA-yceO
506	bssS	1123400	1123719	-	100	bssS
507	bssS	1123400	1123731	-	100	bssS
508	bssS	1123400	1123757	-	100	bssS
509	dinI	1123941	1124208	-	100	dinI
510	pyrC	1124260	1125342	-	100	pyrC
511	grxB	1126106	1126802	-	100	grxB
512	rimJ	1128221	1128845	+	100	rimJ
513	flgMN	1132113	1132864	-	100	flgMN
514	flgAMN	1132113	1133584	-	100	flgAMN
515	flgBCDEFGHIJ	1133692	1141011	+	100	flgBCDEFGHIJ
516	flgKL	1141050	1143685	+	100	flgKL
517	rne	1143881	1147120	-	100	rne
518	rne	1143881	1147427	-	100	rne
519	rne	1143881	1147461	-	100	rne
520	rne	1143881	1147572	-	100	rne
521	sraB	1149288	1149451	+	100	sraB
522	yceD-rpmF	1149348	1150239	+	100	yceD-rpmF
523	yceD-rpmF	1149490	1150239	+	100	yceD-rpmF
524	rpmF-plsX-fabHDG	1150037	1154103	+	100	rpmF-plsX-fabHDG
525	plsX-fabHDG	1150276	1154103	+	100	plsX-fabHDG
526	fabHDG	1151215	1154103	+	100	fabHDG
527	acpP-fabF	1154274	1155879	+	100	acpP-fabF
528	acpP	1154274	1154586	+	100	acpP
529	ptsG	1160325	1162001	+	100	ptsG
530	ptsG	1160465	1162001	+	100	ptsG
531	fhuE	1162024	1164346	-	100	fhuE
532	ndh	1168691	1170088	+	100	ndh
533	comR	1170899	1171543	-	100	comR
534	bhsA	1171718	1172029	+	100	bhsA
535	bhsA	1171732	1172029	+	100	bhsA
536	ldtC	1172111	1173116	-	100	ldtC
537	mfd	1173217	1176691	-	100	mfd
538	mfd	1173217	1176727	-	100	mfd
539	pepT	1188522	1189769	+	100	pepT
540	phoQ	1191015	1192639	-	100	phoQ
541	phoPQ	1191015	1193182	-	100	phoPQ
542	phoPQ	1191015	1193190	-	100	phoPQ
543	phoPQ	1191015	1193207	-	100	phoPQ
544	hflD-purB	1193315	1195385	-	100	hflD-purB
545	iraM	1214379	1214789	-	100	iraM
546	iraM	1214379	1214822	-	100	iraM
547	bluR	1216027	1216812	-	100	bluR
548	bluF	1216963	1218205	-	100	bluF
549	ycgZ-ymgA-ariR-ymgC	1218451	1219695	+	100	ycgZ-ymgA-ariR-ymgC
550	ycgL	1230308	1230706	+	100	ycgL
551	hlyE	1232182	1233165	-	100	hlyE
552	umuDC	1233437	1235153	+	100	umuDC
553	fadR	1237604	1238397	+	100	fadR
554	fadR	1237615	1238397	+	100	fadR
